Kod sklepu;Kod segmentu;Data od;Data do;Nazwa planogramu;Wersja planogramu;Opis planogramu;Numer półki;Pozycja;Index;Nazwa;Liczba twarzy;Sposób ekspozycji
Text;Int;Text;Text;Text;Text;Text;Int;Int;Text;Text;Int;Int
shop_planogram_assignment.shop.codes;shop_planogram_assignment.segment.id;shop_planogram_assignment.start_date_time;shop_planogram_assignment.end_date_time;planogram.name;planogram.version;planogram.description;planogram_element.shelf;planogram_element.position;planogram_element.sku.index;planogram_element.sku.name;planogram_element.faces_count;planogram_element.stack_count
Z1790;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_dania gotowe_0.9_6;0019;;6;1;12005006;ZUPA MAROKAŃSKA 380G MW;1;1
Z1790;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_dania gotowe_0.9_6;0019;;6;2;12004982;ZUPA TAJSKA Z KURCZAKIEM 380G MW;1;1
Z1790;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_dania gotowe_0.9_6;0019;;6;3;12004981;ZUPA KREM Z BIAŁYCH WARZYW 390G MW;1;1
Z1790;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_dania gotowe_0.9_6;0019;;6;4;12003614;ZUPA OGÓRKOWA 350G MW;1;1
Z1790;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_dania gotowe_0.9_6;0019;;6;5;12003593;ZUPA KREM Z POMIDORA 350G MW;1;1
Z1790;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_dania gotowe_0.9_6;0019;;6;6;12004574;PIEROGI DROBIOWE Z SMAŻ CEBUL 320G MW;1;2
Z1790;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_dania gotowe_0.9_6;0019;;6;7;12002252;PIEROGI Z MIĘSEM W KUBKU 320G MW;1;1
Z1790;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_dania gotowe_0.9_6;0019;;6;8;12002242;PIEROGI RUSKIE W KUBKU 320G MW;1;1
;;;;;;;;;;;;
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;1;104;12004981;ZUPA KREM Z BIAŁYCH WARZYW 390G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;1;105;12003593;ZUPA KREM Z POMIDORA 350G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;1;106;10985877;PIEROGI RUSKIE 400G U JĘDRUSIA;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;1;107;10985876;PIEROGI Z MIĘSEM 400G U JĘDRUSIA;1;1
